# Lines starting with # will be ignored for data reading purposes
# This file stores the query counts for various runs of subcore
#
# In the list of agent preferences, agents are separated by | and the series of numbers are the construction arguments for fractions
# to build the prefrences. Specifically, numerator followed by denominator, repeat.
#
# Columns are:
# List of agent preferences; trim count; valuation count
2758956271709915 12494478377069444, 8722063728929035 24988956754138888, 22230262151880235 24988956754138888, 38839794174949525 24988956754138888, 9688929467199645 6247239188534722, 14465259170445935 12494478377069444, 4836984984657295 3123619594267361, 16966610600370185 12494478377069444, 66328497407780 446231370609623, 30549801799685395 24988956754138888; 832526753528096 4035977581749775, 7876914733344296 4035977581749775, 1138696426478162 4035977581749775, 2357736257591437 4035977581749775, 5718411409913583 4035977581749775, 5621865407488842 4035977581749775, 3768195688622929 4035977581749775, 120978658931211 161439103269991, 8512671261644762 4035977581749775, 1508291405605368 4035977581749775; 20848252560395685 25790341463278943, 31985802588338615 25790341463278943, 36632764963740985 25790341463278943, 14688691830128470 25790341463278943, 32122360532263210 25790341463278943, 43322257050735315 25790341463278943, 16977077599214740 25790341463278943, 29878782575281690 25790341463278943, 5294535796248190 25790341463278943, 26152889136442530 25790341463278943; 7037238222993622 4655319399357699, 2929433440804305 1551773133119233, 7463364730250729 4655319399357699, 1374727555468417 4655319399357699, 4494753816617677 4655319399357699, 240644295235174 1551773133119233, 2044504481582205 1551773133119233, 1041323268208041 1551773133119233, 2310923283770975 4655319399357699, 5104469926986395 4655319399357699; | 9 | 17
11590664840803088 7176346876260589, 2995167968780868 7176346876260589, 9534177148387476 7176346876260589, 3065222600569752 7176346876260589, 3363233699356056 7176346876260589, 6927389211147378 7176346876260589, 1810206055338866 7176346876260589, 16888873619700866 7176346876260589, 5294408964019608 7176346876260589, 10294124654501932 7176346876260589; 64634181121271000 40900177186973777, 11177706240314380 40900177186973777, 8787107044521720 40900177186973777, 87200586742030780 40900177186973777, 10607724686874600 40900177186973777, 57841557850554420 40900177186973777, 48336001176299580 40900177186973777, 6209446955508680 40900177186973777, 83433814190222640 40900177186973777, 30773645862139970 40900177186973777; 41009175723754380 13542107465139187, 1266443023635165 13542107465139187, 10116465201608915 13542107465139187, 19688879115804350 13542107465139187, 4433893544338085 13542107465139187, 13561063618719335 13542107465139187, 4772026924956760 13542107465139187, 944606478551425 13542107465139187, 33786797703488975 13542107465139187, 5841723316534480 13542107465139187; 77131977154243610 37418181241482301, 752248508959040 2878321633960177, 22371614580361220 37418181241482301, 20485967898691800 37418181241482301, 607656133924630 2878321633960177, 21061362444843680 37418181241482301, 57001196794664530 37418181241482301, 80826095324521670 37418181241482301, 66535643971924190 37418181241482301, 11089193888084600 37418181241482301; | 3 | 13
18834572524813980 44945999756690849, 57558731309415840 44945999756690849, 54358061923763610 44945999756690849, 42815983316949490 44945999756690849, 46502709977608620 44945999756690849, 70586944375239960 44945999756690849, 29627473344353430 44945999756690849, 36630837291540330 44945999756690849, 61462655615615060 44945999756690849, 31082027887608170 44945999756690849; 49288391703068240 58428083380302571, 83664671005349000 58428083380302571, 12122024627602810 58428083380302571, 40364955768582230 58428083380302571, 59334144282665130 58428083380302571, 86215867589557090 58428083380302571, 72321170616854430 58428083380302571, 71655719353874690 58428083380302571, 27055597812002910 58428083380302571, 82258291043469180 58428083380302571; 38935461501375175 22063987740647756, 4523796283465575 22063987740647756, 17529735703653245 22063987740647756, 1940808355144045 5515996935161939, 16341768057773575 22063987740647756, 11770544292847855 11031993870323878, 7630689865998035 22063987740647756, 36574194248597275 22063987740647756, 9281124873761550 5515996935161939, 15337705122148295 11031993870323878; 26318533085484190 14373646917812023, 12737922431062810 14373646917812023, 31189225020772610 43120940753436069, 378025186414340 14373646917812023, 68993476629142520 43120940753436069, 9786509356817290 14373646917812023, 33056605361013980 43120940753436069, 4474375371326810 14373646917812023, 81350413043442590 43120940753436069, 55533591186672670 43120940753436069; | 9 | 15
300181084347037 4936847408393969, 7711358183063618 4936847408393969, 2987424990942833 4936847408393969, 483673649260206 290402788729057, 8146537672041421 4936847408393969, 8078081984263382 4936847408393969, 6091839301046886 4936847408393969, 2663089577598812 4936847408393969, 5092675119832118 4936847408393969, 74834133380081 4936847408393969; 33735504131087545 32632676121119703, 235590963941740 10877558707039901, 37073767797707965 32632676121119703, 34172826534402140 32632676121119703, 41051283047315455 32632676121119703, 39585174988174580 32632676121119703, 42828141005149255 32632676121119703, 11120223105089455 10877558707039901, 22408816733209445 32632676121119703, 41403804767057060 32632676121119703; 10802825348779445 14405529490676383, 25292720188211065 28811058981352766, 1917936451114470 14405529490676383, 12086580958710855 14405529490676383, 43908260975383455 28811058981352766, 18458256698959075 14405529490676383, 28818726722072175 28811058981352766, 17455744942424295 14405529490676383, 22459534175115895 14405529490676383, 23729124777652895 28811058981352766; 19325286451440695 18009484114003758, 3144996970756375 6003161371334586, 10196960875227385 18009484114003758, 7892579782596515 6003161371334586, 12997915789278655 18009484114003758, 6121481051644805 6003161371334586, 13441319504835935 9004742057001879, 718242826456735 1000526895222431, 9408293268230555 9004742057001879, 4578318031123925 3001580685667293; | 13 | 18
6810395763337276 7172672407683557, 1943790514786918 7172672407683557, 11326039118435868 7172672407683557, 10164179721180558 7172672407683557, 486759600582686 7172672407683557, 1497608656968064 7172672407683557, 14686423596941188 7172672407683557, 9934537440022408 7172672407683557, 9048165774364930 7172672407683557, 27624757773534 33993708093287; 13724388159466275 9436664260542542, 20656418440080190 14154996390813813, 29864423939867755 28309992781627626, 12095439062152705 14154996390813813, 20571229001854720 14154996390813813, 7029409704025255 28309992781627626, 5828533455938095 28309992781627626, 25738309816568845 28309992781627626, 11390015403013930 14154996390813813, 14679960869091465 9436664260542542; 3074622336225981 2048057989614818, 3221507474834497 2048057989614818, 1019669878090805 2048057989614818, 859825229588855 2048057989614818, 2140846906091719 4096115979229636, 4613996251102921 4096115979229636, 1429340105113417 2048057989614818, 2293966452488851 2048057989614818, 2191044906368112 1024028994807409, 411068514236115 1024028994807409; 27706603081716740 10299773468501427, 1168757649592540 30899320405504281, 48217222519620160 30899320405504281, 8496390787727170 30899320405504281, 9236021124029050 30899320405504281, 4674972150818680 30899320405504281, 4236903808832810 10299773468501427, 34046903348853140 30899320405504281, 2695889168593750 3433257822833809, 83059413285409670 30899320405504281; | 13 | 19
19991559839200 25729695094183, 73233913128025640 45361452451044629, 82045556101724620 45361452451044629, 36484789678816590 45361452451044629, 7478470965509190 45361452451044629, 35249791747175760 45361452451044629, 45262603933774570 45361452451044629, 82562773803341630 45361452451044629, 23869223862246420 45361452451044629, 32182281293322270 45361452451044629; 23652841067750480 56535595170586879, 85049407099531590 56535595170586879, 66594305753540510 56535595170586879, 72302258309548020 56535595170586879, 43402155331494970 56535595170586879, 21124906346488130 56535595170586879, 85426422972402690 56535595170586879, 76627797320865920 56535595170586879, 9805323602362110 56535595170586879, 81370533901884370 56535595170586879; 16056360418085400 9437278933289359, 11298475951509445 9437278933289359, 6738090787150760 9437278933289359, 2702141251418845 9437278933289359, 21532082218994525 18874557866578718, 14741155481129625 18874557866578718, 9118868992523055 18874557866578718, 37978301289829385 18874557866578718, 8206999922932905 18874557866578718, 23578033944048785 18874557866578718; 3919210308776275 18823639318103184, 20837399837847475 9411819659051592, 5981833706414345 3137273219683864, 22636859498366585 18823639318103184, 3670287884933245 9411819659051592, 9768693345682205 9411819659051592, 14781094573793885 6274546439367728, 157742040475660 1176477457381449, 2744391891444005 9411819659051592, 4880618846596835 18823639318103184; | 11 | 18
994829161926350 5256144947452101, 7755175478932535 5256144947452101, 41357583202456510 15768434842356303, 4389261300545075 15768434842356303, 14138034351216910 15768434842356303, 6416705397403235 15768434842356303, 27977726335350835 15768434842356303, 13715270227662565 15768434842356303, 18384621567740240 15768434842356303, 5055132118611005 15768434842356303; 8976934878968390 4712603527339977, 8343479840923580 4712603527339977, 11580915770875090 42413431746059793, 32772198572737390 42413431746059793, 50981877369964520 42413431746059793, 29728564599486350 14137810582019931, 14770991133567890 14137810582019931, 4314226034277010 42413431746059793, 30446075578541170 42413431746059793, 172467572444900 1570867842446659; 34612455789557845 22977285874697602, 12652472632813135 22977285874697602, 14213667425195300 11488642937348801, 976903434392665 1641234705335543, 6418706425040725 3282469410671086, 161412926018625 11488642937348801, 5883064517527515 3282469410671086, 8424561461752705 22977285874697602, 4160838139715045 3282469410671086, 8209148251472090 11488642937348801; 14240717458782370 11147407358935183, 6400455757447905 3184973531124338, 8885597191353825 22294814717870366, 8272909394703825 22294814717870366, 15616480995866755 11147407358935183, 169002701927555 3184973531124338, 8393562193050815 22294814717870366, 3605703909027930 11147407358935183, 20586442122971735 11147407358935183, 43311180210669395 22294814717870366; | 3 | 13
2547557255063038 6779248646181129, 1243347241169068 2259749548727043, 15024478263212888 6779248646181129, 13171577568189398 6779248646181129, 2516952739684396 6779248646181129, 1037550109941154 2259749548727043, 2991633311523674 6779248646181129, 5325102502302814 6779248646181129, 3546035365798856 2259749548727043, 970487407900872 753249849575681; 26202913255016885 27201424957727691, 22062368912148805 27201424957727691, 399021768113525 27201424957727691, 12778033056762430 9067141652575897, 7927113095502170 27201424957727691, 17599618750029845 27201424957727691, 37699560875997580 27201424957727691, 1205893343108165 824285604779627, 13154666426640555 9067141652575897, 42531074147689700 27201424957727691; 20341603352054330 15343324569288603, 18762141885497860 46029973707865809, 26231709578361590 46029973707865809, 75462870555717860 46029973707865809, 24756737915102630 46029973707865809, 25158353688554960 46029973707865809, 9553067361340360 5114441523096201, 25245905220580540 15343324569288603, 6972068193720350 5114441523096201, 1479725913990730 15343324569288603; 5097801835711870 3058574121608677, 458215984873055 18351444729652062, 6290164602409220 3058574121608677, 547992485377325 6117148243217354, 13618613425659325 9175722364826031, 22025247706408165 18351444729652062, 2343041944864820 9175722364826031, 4644766933171945 9175722364826031, 18976439792716765 18351444729652062, 5144987186711990 3058574121608677; | 5 | 14
871744633660850 2157379267104201, 78408765361018 719126422368067, 2029956087510938 924591114473229, 17209563046153378 6472137801312603, 543276425451338 2157379267104201, 24471766127512 102732346052581, 538920263132192 6472137801312603, 5380967480995144 6472137801312603, 5635038609410824 6472137801312603, 2179247524176992 924591114473229; 19057486406367700 17001288988842219, 6616980324257390 5667096329614073, 16295038621796450 17001288988842219, 70251070389151610 51003866966526657, 24632775469277810 51003866966526657, 85645644061064470 51003866966526657, 23619831863070430 17001288988842219, 39494144912809570 51003866966526657, 2327475746686170 5667096329614073, 3621984391196370 5667096329614073; 1816645899117178 6369435866226953, 3965531712539732 6369435866226953, 11460189480273192 6369435866226953, 3026826564488034 6369435866226953, 807308292240466 489956605094381, 9720975155940220 6369435866226953, 6201424174334520 6369435866226953, 3729980555838622 6369435866226953, 7383221098406228 6369435866226953, 5894556222205746 6369435866226953; 28916408255383790 12757908224393187, 41176301869508620 38273724673179561, 55007526003380060 38273724673179561, 2374563301380730 12757908224393187, 60743539869090520 38273724673179561, 3863002750123160 4252636074797729, 10068185011998170 12757908224393187, 35887281781638980 38273724673179561, 2518047045619560 4252636074797729, 2805226446734960 12757908224393187; | 13 | 21
7673567385850775 5020642807107679, 7742612929529565 20082571228430716, 1079446307965875 20082571228430716, 5427429874930415 20082571228430716, 161158010433215 153302070446036, 2570512899072470 5020642807107679, 19456513074052425 10041285614215358, 20138642602854935 10041285614215358, 8019483999767370 5020642807107679, 3304988828138240 5020642807107679; 21308840721802815 23848480816797839, 38796128872836230 23848480816797839, 20110166795365140 23848480816797839, 10214447164391260 23848480816797839, 32311964356671465 23848480816797839, 26696043789043765 23848480816797839, 27839587119488870 23848480816797839, 8626364495677710 23848480816797839, 38242084605495260 23848480816797839, 14339180247205875 23848480816797839; 15815507805975942 9893705963637725, 7343259910104852 9893705963637725, 38137603417802 1978741192727545, 13695229351576256 9893705963637725, 17781438408754334 9893705963637725, 2236106644218616 1978741192727545, 16567109804779044 9893705963637725, 13813814417789902 9893705963637725, 2104222897762404 9893705963637725, 445255801452426 9893705963637725; 24896706005831755 20285314446634319, 25716228126880190 20285314446634319, 23152999666217405 20285314446634319, 26025176730009655 20285314446634319, 7776893290999815 20285314446634319, 15126794678114295 20285314446634319, 14956423734205320 20285314446634319, 3183143534598855 20285314446634319, 43349704196242475 20285314446634319, 18669074503243425 20285314446634319; | 13 | 19
